vpp_year,country,nat_auth,ref_no,cert_no,bin,sail_no,yacht_name,class,certificate_type,family,issue_date,first_seen_on,status,removed_on,certificate_url,performance_url
2026,ARG,ARG,03880004N10,,TOBA,A-004,TOBA,WEST SOLENT,CLUB,ORC,2026-04-24T10:11:08.688Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03880004N10.pdf,../../performance/?year=2026&country=ARG&ref=03880004N10
2026,ARG,ARG,03880004IJW,000202,GauchoS33,ARG-002,GAUCHO,SOTO 33,CLUB,ORC,2026-03-21T12:03:51.239Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03880004IJW.pdf,../../performance/?year=2026&country=ARG&ref=03880004IJW
2026,ARG,ARG,03880004IF0,000401,ARG004,ARG-004,ARIETE IV,MATCH 30,CLUB,ORC,2026-03-20T12:18:15.809Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03880004IF0.pdf,../../performance/?year=2026&country=ARG&ref=03880004IF0
2026,ARG,ARG,03880004IF2,,ARG06s33,ARG-006,ALLEGRO,SOTO 33,CLUB,ORC,2026-03-20T12:18:20.026Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03880004IF2.pdf,../../performance/?year=2026&country=ARG&ref=03880004IF2
2026,ARG,ARG,03880004IF3,000701,ARG07s33,ARG-007,ALEGRIA,SOTO 33,CLUB,ORC,2026-03-20T12:18:21.795Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03880004IF3.pdf,../../performance/?year=2026&country=ARG&ref=03880004IF3
2026,ARG,ARG,03880004IF1,,ARG01s33,ARG-008,RE-PUESTOS,SOTO 33,CLUB,ORC,2026-03-20T12:18:17.560Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03880004IF1.pdf,../../performance/?year=2026&country=ARG&ref=03880004IF1
2026,ARG,ARG,03880004WM4,,ARG024,ARG-024,PATAGONIA,S 40 OD,INTL,ORC,2026-08-21T15:01:20.456Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03880004WM4.pdf,../../performance/?year=2026&country=ARG&ref=03880004WM4
2026,ARG,ARG,03880004LU1,,ARG110o,ARG-110,JABEQUE by HOOD,PG 280,CLUB,ORC,2026-04-18T08:39:11.217Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03880004LU1.pdf,../../performance/?year=2026&country=ARG&ref=03880004LU1
2026,ARG,ARG,03880004H6D,,ARG118,ARG-118,HORIZONTE,FRERS 49,CLUB,ORC,2026-03-09T11:20:08.402Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03880004H6D.pdf,../../performance/?year=2026&country=ARG&ref=03880004H6D
2026,ARG,ARG,03880004WM5,132313,ARG1323,ARG-1323,SUR,FRERS 41,CLUB,ORC,2026-08-21T15:10:58.181Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03880004WM5.pdf,../../performance/?year=2026&country=ARG&ref=03880004WM5
2026,ARG,ARG,03880004B34,014103,ARG141,ARG-141,FJORD V,FRERS 40,CLUB,ORC,2026-02-10T16:31:26.910Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03880004B34.pdf,../../performance/?year=2026&country=ARG&ref=03880004B34
2026,ARG,ARG,03880004N2B,171201,ARG1712,ARG-1712,RENA,CP 30,CLUB,ORC,2026-04-24T18:23:36.101Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03880004N2B.pdf,../../performance/?year=2026&country=ARG&ref=03880004N2B
2026,ARG,ARG,03880004Q2A,222403,ARG2224,ARG-2224,ASTARTE,NAVALTEC 37,CLUB,ORC,2026-05-15T17:40:42.667Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03880004Q2A.pdf,../../performance/?year=2026&country=ARG&ref=03880004Q2A
2026,ARG,ARG,03880004LU3,,MORO,ARG-2456,MORO,HOLLAND 34,CLUB,ORC,2026-04-18T08:49:14.230Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03880004LU3.pdf,../../performance/?year=2026&country=ARG&ref=03880004LU3
2026,ARG,ARG,03880004N0S,,ARG250,ARG-250,BONANZA,PRIVATEER,CLUB,ORC,2026-04-24T10:10:52.634Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03880004N0S.pdf,../../performance/?year=2026&country=ARG&ref=03880004N0S
2026,ARG,ARG,03880004B3A,,ARG-2801,ARG-2801,DON QUIJOTE II,CIBERT 42,CLUB,ORC,2026-02-10T16:42:46.240Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03880004B3A.pdf,../../performance/?year=2026&country=ARG&ref=03880004B3A
2026,ARG,ARG,038800048PC,296408,ARG2964,ARG-2964,BACCARA III,ARIES 37,CLUB,ORC,2026-02-06T14:50:37.484Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/038800048PC.pdf,../../performance/?year=2026&country=ARG&ref=038800048PC
2026,ARG,ARG,03880004N2A,030301,ARG303,ARG-303,FJORD IV,SUPERCADETE,CLUB,ORC,2026-04-24T18:21:13.538Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03880004N2A.pdf,../../performance/?year=2026&country=ARG&ref=03880004N2A
2026,ARG,ARG,03880004B35,,ARG3031,ARG-3031,MARIA ELENA,F&C 44,CLUB,ORC,2026-02-10T16:31:28.878Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03880004B35.pdf,../../performance/?year=2026&country=ARG&ref=03880004B35
2026,ARG,ARG,03880004H6E,031001,CANGREJO,ARG-310,CANGREJO,CLASICO,CLUB,ORC,2026-03-09T11:20:14.415Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03880004H6E.pdf,../../performance/?year=2026&country=ARG&ref=03880004H6E
2026,ARG,ARG,03880004N13,,ARG3242,ARG-3242,ERRANTE,F&C 40,CLUB,ORC,2026-04-24T10:12:41.756Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03880004N13.pdf,../../performance/?year=2026&country=ARG&ref=03880004N13
2026,ARG,ARG,03880004BD7,333004,ARG3330,ARG-3330,BRAVURA,FRERS 41,CLUB,ORC,2026-02-13T10:27:27.248Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03880004BD7.pdf,../../performance/?year=2026&country=ARG&ref=03880004BD7
2026,ARG,ARG,03880004IFM,335008,ARG3350,ARG-3350,MARIA MARIA,VOLKER 39.5,CLUB,ORC,2026-03-20T12:21:02.081Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03880004IFM.pdf,../../performance/?year=2026&country=ARG&ref=03880004IFM
2026,ARG,ARG,03880004LU2,,ARG3410,ARG-3410,BIG BANG,F&C 40,CLUB,ORC,2026-04-18T08:43:58.275Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03880004LU2.pdf,../../performance/?year=2026&country=ARG&ref=03880004LU2
2026,ARG,ARG,03880004IF4,,ARG3461,ARG-3461,TENAZ,HOLLAND 34,CLUB,ORC,2026-03-20T12:18:25.778Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03880004IF4.pdf,../../performance/?year=2026&country=ARG&ref=03880004IF4
2026,ARG,ARG,038800048P2,,ARG3661,ARG-3661,TINTO,ROVERE 50,CLUB,ORC,2026-02-06T14:21:34.219Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/038800048P2.pdf,../../performance/?year=2026&country=ARG&ref=038800048P2
2026,ARG,ARG,03880004LT1,,ARG3752,ARG-3752,CONI M,F&C 40,CLUB,ORC,2026-04-17T13:52:21.412Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03880004LT1.pdf,../../performance/?year=2026&country=ARG&ref=03880004LT1
2026,ARG,ARG,03880004B36,393909,ARG3939,ARG-3939,FUGA,FRERS 45,INTL,ORC,2026-02-10T16:31:31.100Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03880004B36.pdf,../../performance/?year=2026&country=ARG&ref=03880004B36
2026,ARG,ARG,03880004LU0,,ARG4089,ARG-4089,CARECA,PANDORA 31,CLUB,ORC,2026-04-18T08:35:34.887Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03880004LU0.pdf,../../performance/?year=2026&country=ARG&ref=03880004LU0
2026,ARG,ARG,03880004B3D,,LUANJO,ARG-41,LOUANJO,F&C 44,CLUB,ORC,2026-02-10T16:48:07.856Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03880004B3D.pdf,../../performance/?year=2026&country=ARG&ref=03880004B3D
2026,ARG,ARG,03880004N0T,414802,ARG4148,ARG-4148,SKAL CLERICO,PANDORA 34,CLUB,ORC,2026-04-24T10:10:57.461Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03880004N0T.pdf,../../performance/?year=2026&country=ARG&ref=03880004N0T
2026,ARG,ARG,03880004IF5,,ARG4166,ARG-4166,TOO MATCH,MATCH 42,INTL,ORC,2026-03-20T12:18:27.746Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03880004IF5.pdf,../../performance/?year=2026&country=ARG&ref=03880004IF5
2026,ARG,ARG,03880004IF6,,ARG4185,ARG-4185,BIG MATCH,MATCH 42,CLUB,ORC,2026-03-20T12:18:30.520Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03880004IF6.pdf,../../performance/?year=2026&country=ARG&ref=03880004IF6
